Date,Open,High,Low,Close,Volume
2016-02-19,6.960000,7.015100,6.945500,6.962900,127347120
2016-02-22,6.982475,7.025250,6.954200,7.023800,123410880
2016-02-23,6.989000,6.996250,6.854875,6.865025,114993360
2016-02-24,6.813550,6.987550,6.765700,6.967250,130520520
2016-02-25,6.963625,7.015100,6.905625,7.015100,99297720
2016-02-26,7.047000,7.106450,7.002050,7.025975,104367960
2016-02-29,7.022350,7.121675,7.007125,7.010025,126778680
2016-03-01,7.079625,7.305825,7.062950,7.288425,181465560
2016-03-02,7.286975,7.314525,7.223900,7.304375,119410560
2016-03-03,7.292050,7.373975,7.282625,7.358750,133040520
2016-03-04,7.421825,7.521875,7.349325,7.468225,165798360
2016-03-07,7.423275,7.455175,7.319600,7.385575,128984040
2016-03-08,7.306550,7.377600,7.279000,7.324675,113622840
2016-03-09,7.344975,7.364550,7.269575,7.331200,97926120
2016-03-10,7.352225,7.412400,7.260875,7.334825,120648960
2016-03-11,7.412400,7.415300,7.358750,7.413850,98669520
2016-03-14,7.388475,7.460975,7.379050,7.432700,90273960
2016-03-15,7.537100,7.625550,7.529125,7.582050,144243720
2016-03-16,7.584225,7.707475,7.582775,7.682825,137892600
2016-03-17,7.650200,7.719075,7.609600,7.670500,123914520
2016-03-18,7.709650,7.721250,7.626275,7.679200,159138720
2016-03-21,7.679925,7.804625,7.622650,7.678475,127809720
2016-03-22,7.630625,7.778525,7.627725,7.737200,116799840
2016-03-23,7.719800,7.762575,7.677750,7.694425,92532600
2016-03-24,7.646575,7.703125,7.604525,7.661075,94078800
2016-03-28,7.685000,7.698775,7.616850,7.626275,69881040
2016-03-29,7.604525,7.814775,7.603800,7.806800,112284360
2016-03-30,7.877125,8.005450,7.873500,7.943100,164163960
2016-03-31,7.954700,7.967750,7.893800,7.901775,93198240
2016-04-01,7.886550,7.975000,7.844500,7.974275,93146400
2016-04-04,8.005450,8.133775,7.994575,8.056200,134482320
2016-04-05,7.939475,8.027925,7.932950,7.961225,95683320
2016-04-06,7.991675,8.046050,7.917000,8.044600,95054760
2016-04-07,7.971375,8.005450,7.838700,7.869150,114486840
2016-04-08,7.895975,7.958325,7.842325,7.877850,84894120
2016-04-11,7.900325,8.019225,7.890175,7.903950,105867000
2016-04-12,7.927150,8.011250,7.877850,8.006900,98036280
2016-04-13,8.033000,8.144650,8.033000,8.122900,119726280
2016-04-14,8.092450,8.148275,8.071425,8.127250,91706040
2016-04-15,8.127975,8.141750,7.955425,7.964125,168980400
2016-04-18,7.894525,7.898875,7.753150,7.792300,218957400
2016-04-19,7.821300,7.830000,7.701675,7.750975,116585640
2016-04-20,7.731400,7.836525,7.689350,7.766925,110199600
2016-04-21,7.752425,7.752425,7.650200,7.682825,113589000
2016-04-22,7.613225,7.719800,7.584950,7.661800,121259160
2016-04-25,7.612500,7.659625,7.576975,7.618300,100913760
2016-04-26,7.533475,7.634250,7.533475,7.565375,201658320
2016-04-27,6.960000,7.156475,6.936800,7.091950,412567560
2016-04-28,7.076725,7.096300,6.833125,6.875175,296073720
2016-04-29,6.814275,6.867200,6.706975,6.796150,246713400
2016-05-02,6.812825,6.820800,6.699000,6.788900,173376360
2016-05-03,6.829500,6.941150,6.791800,6.900550,204592680
2016-05-04,6.902000,6.952750,6.801950,6.828775,147691800
2016-05-05,6.815000,6.820075,6.719300,6.759900,129205800
2016-05-06,6.769325,6.775125,6.659125,6.722200,157319640
2016-05-09,6.742500,6.798325,6.712775,6.727275,118571040
2016-05-10,6.766425,6.783825,6.677975,6.772950,121272480
2016-05-11,6.777300,6.783825,6.703350,6.706975,103388760
2016-05-12,6.722200,6.726550,6.486575,6.549650,274732920
2016-05-13,6.525000,6.646075,6.525000,6.562700,159814080
2016-05-16,6.698275,6.843275,6.644625,6.806300,220535280
2016-05-17,6.854875,6.865750,6.743225,6.778025,168900840
2016-05-18,6.826600,6.902725,6.807025,6.855600,151424640
2016-05-19,6.861400,6.861400,6.783825,6.829500,109591560
2016-05-20,6.861400,6.918675,6.852700,6.903450,115293600
2016-05-23,6.950575,7.046275,6.936075,6.991175,136866960
2016-05-24,7.048450,7.111525,7.020900,7.097750,126504720
2016-05-25,7.153575,7.231150,7.112975,7.222450,137407680
2016-05-26,7.226800,7.302925,7.151400,7.279725,202792320
2016-05-27,7.209400,7.284075,7.195625,7.275375,130828320
2016-05-31,7.221000,7.279000,7.164450,7.239850,152305920
2016-06-01,7.178950,7.216650,7.128925,7.138350,105023880
2016-06-02,7.076000,7.093400,7.005675,7.084700,144689760
2016-06-03,7.089775,7.124575,7.065125,7.099200,102617640
2016-06-06,7.104275,7.387025,7.072375,7.150675,83853000
2016-06-07,7.195625,7.240575,7.174600,7.179675,80674200
2016-06-08,7.178950,7.218100,7.154300,7.173150,75053160
2016-06-09,7.141250,7.249275,7.138350,7.224625,95765040
2016-06-10,7.143425,7.202875,7.139800,7.165175,114166440
2016-06-13,7.155025,7.186200,7.039750,7.057150,136873800
2016-06-14,7.055700,7.139800,7.014375,7.065850,114954840
2016-06-15,7.091950,7.134725,7.034675,7.042650,106002720
2016-06-16,6.992625,7.086875,6.965075,7.072375,112776480
2016-06-17,7.004950,7.007125,6.909250,6.911425,219629520
2016-06-20,6.960000,7.001325,6.889675,6.894750,123882840
2016-06-21,6.883150,6.985375,6.864300,6.953475,127967040
2016-06-22,6.978125,7.024525,6.912875,6.927375,105188760
2016-06-23,6.955650,6.981025,6.905625,6.967250,116064720
2016-06-24,6.735975,6.862850,6.717125,6.771500,271121040
2016-06-27,6.742500,6.746125,6.633750,6.672900,163762560
2016-06-28,6.735250,6.790350,6.680150,6.785275,145601640
2016-06-29,6.812825,6.854875,6.788175,6.844000,131511600
2016-06-30,6.846900,6.943325,6.836750,6.931000,129011040
2016-07-01,6.923025,6.994075,6.911425,6.952025,93695400
2016-07-05,6.915775,6.916500,6.848350,6.886775,99738720
2016-07-06,6.858500,6.935350,6.841825,6.925925,111416760
2016-07-07,6.938250,6.996250,6.932450,6.955650,90502560
2016-07-08,6.995525,7.024525,6.963625,7.009300,104083560
2016-07-11,7.014375,7.079625,7.012925,7.031050,85661640
2016-07-12,7.044825,7.083250,7.041200,7.062950,87003000
2016-07-13,7.062225,7.081075,7.020900,7.023075,93211920
2016-07-14,7.060775,7.176775,7.055700,7.162275,140108400
2016-07-15,7.171700,7.199250,7.141250,7.161550,108493200
2016-07-18,7.155750,7.259425,7.148500,7.237675,131378040
2016-07-19,7.218100,7.250000,7.202150,7.240575,85607640
2016-07-20,7.250000,7.283350,7.231150,7.247100,94593600
2016-07-21,7.237675,7.322500,7.186925,7.208675,117727200
2016-07-22,7.196350,7.199250,7.127475,7.152850,101929320
2016-07-25,7.123125,7.165900,7.026700,7.057150,145378440
2016-07-26,7.019450,7.102825,6.990450,7.008575,202463280
2016-07-27,7.559575,7.565375,7.449375,7.463875,332441280
2016-07-28,7.455175,7.572625,7.454450,7.564650,143531280
2016-07-29,7.553775,7.579875,7.516800,7.555225,99841320
2016-08-01,7.569725,7.695875,7.569725,7.688625,137404440
2016-08-02,7.688625,7.690075,7.540000,7.574800,121739760
2016-08-03,7.598725,7.673400,7.595825,7.669775,108729360
2016-08-04,7.654550,7.685000,7.632800,7.675575,98671320
2016-08-05,7.704575,7.804625,7.698050,7.792300,145992240
2016-08-08,7.795200,7.856825,7.769100,7.856825,100933920
2016-08-09,7.846675,7.898150,7.830725,7.888725,94734720
2016-08-10,7.881475,7.895250,7.812600,7.830000,86430600
2016-08-11,7.867700,7.897425,7.819125,7.824925,98944200
2016-08-12,7.814050,7.861900,7.814050,7.843050,67177440
2016-08-15,7.840150,7.941650,7.835800,7.937300,93125520
2016-08-16,7.948175,7.991675,7.917725,7.930050,121659840
2016-08-17,7.909750,7.929325,7.854650,7.918450,91281600
2016-08-18,7.919175,7.946000,7.903950,7.908300,79144920
2016-08-19,7.885825,7.952525,7.856100,7.928600,91325160
2016-08-22,7.892350,7.909750,7.819125,7.866975,92952720
2016-08-23,7.872775,7.925700,7.868425,7.891625,76527720
2016-08-24,7.871325,7.884375,7.806800,7.832175,85230360
2016-08-25,7.785775,7.821300,7.734300,7.798825,90310320
2016-08-26,7.787225,7.826375,7.707475,7.753150,99958680
2016-08-29,7.729950,7.789400,7.706025,7.744450,89893080
2016-08-30,7.670500,7.721250,7.648750,7.685000,89510040
2016-08-31,7.660350,7.726325,7.658900,7.692250,106784640
2016-09-01,7.695150,7.743000,7.657450,7.737925,96125400
2016-09-02,7.808250,7.830000,7.744450,7.810425,96489000
2016-09-06,7.822750,7.851750,7.794475,7.808250,96769440
2016-09-07,7.817675,7.885100,7.762575,7.856100,152511480
2016-09-08,7.775625,7.777075,7.629900,7.650200,190807200
2016-09-09,7.586400,7.664700,7.476925,7.476925,167605200
2016-09-12,7.442125,7.664700,7.433425,7.644400,163054080
