Date,Open,High,Low,Close,Volume
2016-02-19,9.840000,9.917900,9.819500,9.844100,219320040
2016-02-22,9.871775,9.932250,9.831800,9.930200,212540960
2016-02-23,9.881000,9.891250,9.691375,9.705725,198044120
2016-02-24,9.632950,9.878950,9.565300,9.850250,224785340
2016-02-25,9.845125,9.917900,9.763125,9.917900,171012740
2016-02-26,9.963000,10.047050,9.899450,9.933275,179744820
2016-02-29,9.928150,10.068575,9.906625,9.910725,218341060
2016-03-01,10.009125,10.328925,9.985550,10.304325,312524020
2016-03-02,10.302275,10.341225,10.213100,10.326875,205651520
2016-03-03,10.309450,10.425275,10.296125,10.403750,229125340
2016-03-04,10.492925,10.634375,10.390425,10.558525,285541620
2016-03-07,10.494975,10.540075,10.348400,10.441675,222139180
2016-03-08,10.329950,10.430400,10.291000,10.355575,195683780
2016-03-09,10.384275,10.411950,10.277675,10.364800,168650540
2016-03-10,10.394525,10.479600,10.265375,10.369925,207784320
2016-03-11,10.479600,10.483700,10.403750,10.481650,169930840
2016-03-14,10.445775,10.548275,10.432450,10.508300,155471820
2016-03-15,10.655900,10.780950,10.644625,10.719450,248419740
2016-03-16,10.722525,10.896775,10.720475,10.861925,237481700
2016-03-17,10.815800,10.913175,10.758400,10.844500,213408340
2016-03-18,10.899850,10.916250,10.781975,10.856800,274072240
2016-03-21,10.857825,11.034125,10.776850,10.855775,220116740
2016-03-22,10.788125,10.997225,10.784025,10.938800,201155280
2016-03-23,10.914200,10.974675,10.854750,10.878325,159361700
2016-03-24,10.810675,10.890625,10.751225,10.831175,162024600
2016-03-28,10.865000,10.884475,10.768650,10.781975,120350680
2016-03-29,10.751225,11.048475,10.750200,11.037200,193378620
2016-03-30,11.136625,11.318050,11.131500,11.229900,282726820
2016-03-31,11.246300,11.264750,11.160200,11.171475,160508080
2016-04-01,11.149950,11.275000,11.090500,11.273975,160418800
2016-04-04,11.318050,11.499475,11.302675,11.389800,231608440
2016-04-05,11.224775,11.349825,11.215550,11.255525,164787940
2016-04-06,11.298575,11.375450,11.193000,11.373400,163705420
2016-04-07,11.269875,11.318050,11.082300,11.125350,197171780
2016-04-08,11.163275,11.251425,11.087425,11.137650,146206540
2016-04-11,11.169425,11.337525,11.155075,11.174550,182326500
2016-04-12,11.207350,11.326250,11.137650,11.320100,168840260
2016-04-13,11.357000,11.514850,11.357000,11.484100,206195260
2016-04-14,11.441050,11.519975,11.411325,11.490250,157938180
2016-04-15,11.491275,11.510750,11.247325,11.259625,291021800
2016-04-18,11.161225,11.167375,10.961350,11.016700,377093300
2016-04-19,11.057700,11.070000,10.888575,10.958275,200786380
2016-04-20,10.930600,11.079225,10.871150,10.980825,189788200
2016-04-21,10.960325,10.960325,10.815800,10.861925,195625500
2016-04-22,10.763525,10.914200,10.723550,10.832200,208835220
2016-04-25,10.762500,10.829125,10.712275,10.770700,173795920
2016-04-26,10.650775,10.793250,10.650775,10.695875,347300440
2016-04-27,9.840000,10.117775,9.807200,10.026550,710533020
2016-04-28,10.005025,10.032700,9.660625,9.720075,509904740
2016-04-29,9.633975,9.708800,9.482275,9.608350,424895300
2016-05-02,9.631925,9.643200,9.471000,9.598100,298592620
2016-05-03,9.655500,9.813350,9.602200,9.755950,352354060
2016-05-04,9.758000,9.829750,9.616550,9.654475,254358100
2016-05-05,9.635000,9.642175,9.499700,9.557100,222521100
2016-05-06,9.570425,9.578625,9.414625,9.503800,270939380
2016-05-09,9.532500,9.611425,9.490475,9.510975,204205680
2016-05-10,9.566325,9.590925,9.441275,9.575550,208858160
2016-05-11,9.581700,9.590925,9.477150,9.482275,178058420
2016-05-12,9.503800,9.509950,9.170675,9.259850,473151140
2016-05-13,9.225000,9.396175,9.225000,9.278300,275235360
2016-05-16,9.469975,9.674975,9.394125,9.622700,379810760
2016-05-17,9.691375,9.706750,9.533525,9.582725,290884780
2016-05-18,9.651400,9.759025,9.623725,9.692400,260786880
2016-05-19,9.700600,9.700600,9.590925,9.655500,188741020
2016-05-20,9.700600,9.781575,9.688300,9.760050,198561200
2016-05-23,9.826675,9.961975,9.806175,9.884075,235715320
2016-05-24,9.965050,10.054225,9.926100,10.034750,217869240
2016-05-25,10.113675,10.223350,10.056275,10.211050,236646560
2016-05-26,10.217200,10.324825,10.110600,10.292025,349253440
2016-05-27,10.192600,10.298175,10.173125,10.285875,225315440
2016-05-31,10.209000,10.291000,10.129050,10.235650,262304640
2016-06-01,10.149550,10.202850,10.078825,10.092150,180874460
2016-06-02,10.004000,10.028600,9.904575,10.016300,249187920
2016-06-03,10.023475,10.072675,9.988625,10.036800,176730380
2016-06-06,10.043975,10.443725,9.998875,10.109575,144413500
2016-06-07,10.173125,10.236675,10.143400,10.150575,138938900
2016-06-08,10.149550,10.204900,10.114700,10.141350,129258220
2016-06-09,10.096250,10.248975,10.092150,10.214125,164928680
2016-06-10,10.099325,10.183375,10.094200,10.130075,196619980
2016-06-13,10.115725,10.159800,9.952750,9.977350,235727100
2016-06-14,9.975300,10.094200,9.916875,9.989650,197977780
2016-06-15,10.026550,10.087025,9.945575,9.956850,182560240
2016-06-16,9.886125,10.019375,9.847175,9.998875,194226160
